feature_name,output_table,producing_notebook,source_columns,transformation_type,has_unit_test,looks_leaky
days_to_festival,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py; 08_feature_engineering.py",retail_silver.dim_date.days_to_festival,"pass-through; cast to INT; NULL rows filled with 999 (coalesce in gold layer: COALESCE(d.days_to_festival, 999))",no,no
is_salary_week,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py; 08_feature_engineering.py",retail_silver.dim_date.is_salary_week,pass-through; cast Boolean→INT,no,no
is_ipl_season,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py; 08_feature_engineering.py",retail_silver.dim_date.is_ipl_season,pass-through; cast Boolean→INT; India-specific feature,no,no
is_monsoon_active,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py; 08_feature_engineering.py",retail_silver.dim_date.is_monsoon_active,pass-through; cast Boolean→INT; India-specific feature,no,no
is_lockdown,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py; 08_feature_engineering.py",retail_silver.dim_date.is_lockdown,pass-through; cast Boolean→INT; COVID-era flag,no,no
temp_avg_c,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py (ext_weather LEFT JOIN via geo_id+date_id); 08_feature_engineering.py",retail_silver.ext_weather.temp_avg_c,"pass-through; cast to DOUBLE; imputed with global average if NULL","no","maybe — training uses actual observed temperature; inference requires a weather forecast. Train/serve skew guaranteed for multi-day forecast horizons."
rainfall_mm,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py; 08_feature_engineering.py",retail_silver.ext_weather.rainfall_mm,pass-through; cast to DOUBLE,no,"maybe — same train/serve skew as temp_avg_c; rainfall forecast accuracy degrades significantly beyond 3 days"
humidity_pct,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py; 08_feature_engineering.py",retail_silver.ext_weather.humidity_pct,pass-through; cast to DOUBLE,no,"maybe — same train/serve skew"
is_heavy_rain,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py (mapped from ext_weather.is_extreme_weather); 08_feature_engineering.py",retail_silver.ext_weather.is_extreme_weather,column renamed is_extreme_weather→is_heavy_rain in gold layer; cast Boolean→INT,no,"maybe — same train/serve skew"
aqi,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py; 08_feature_engineering.py",retail_silver.ext_weather.aqi,pass-through; cast to DOUBLE,no,"maybe — same train/serve skew; AQI forecast is even less reliable than temperature"
price_to_mrp_ratio,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py (computed in daily_agg JOIN); 08_feature_engineering.py (cast to DOUBLE)",retail_silver.fact_pos_sales.unit_selling_price + retail_silver.dim_product.current_mrp,"avg_selling_price / NULLIF(current_mrp,0); avg_selling_price is transaction-weighted mean across all sales on that day","no","maybe — avg_selling_price uses realized transaction prices; at inference you would use the planned/listed price. Discount events mid-day not known at forecast time."
is_on_promo,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py; 08_feature_engineering.py",retail_silver.fact_pos_sales.is_on_promo,"MAX(is_on_promo) from transactions on that day; cast Boolean→INT",no,"no — promo calendar is planned in advance; flag is knowable at forecast time from fact_promotions"
discount_depth,retail_ml.demand_features,08_feature_engineering.py,price_to_mrp_ratio,"1.0 - COALESCE(price_to_mrp_ratio, 1.0); perfectly correlated with price_to_mrp_ratio (redundant feature)",no,"maybe — inherits the same-day realized price concern from price_to_mrp_ratio"
days_since_last_promo,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.is_on_promo,"running window: last() ignoring nulls over cumulative promo_group window; datediff to current date; NULL→999",no,no
promo_frequency_90d,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.is_on_promo,"SUM(is_on_promo) over rowsBetween(-90,-1) / 90.0",no,no
closing_stock,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py (LEFT JOIN fact_inventory on same date_id); 08_feature_engineering.py","retail_silver.fact_inventory.closing_stock_qty","pass-through of END-OF-DAY closing stock from same-day inventory join; cast to DOUBLE; NULL→0","no","yes — closing_stock = opening_stock - sales + receipts. Knowing closing_stock means knowing same-day sales (which is the target). At 7/14/28d horizon, intermediate inventory positions are completely unknown. This feature is unavailable at inference time without a separate inventory availability model."
days_of_stock,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py; 08_feature_engineering.py",retail_silver.fact_inventory.days_of_stock,"pass-through; cast to DOUBLE; DOS = closing_stock / avg_daily_demand — incorporates closing_stock","no","yes — same leakage as closing_stock; DOS uses end-of-day inventory position"
is_stockout,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py; 08_feature_engineering.py",retail_silver.fact_inventory.is_stockout,"pass-through of end-of-day stockout flag; cast Boolean→INT","no","yes — end-of-day stockout reflects whether sales depleted stock on that day; circular with quantity_sold target. For 14d/28d horizons, stockout on intermediate days is definitionally unknowable at forecast time."
abc_class_encoded,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.abc_class (from retail_silver.dim_product),"ordinal: A=3, B=2, C=1; default B=2 if unknown",no,no
is_perishable,retail_gold.gold_demand_daily_sku_store → retail_ml.demand_features,"07_gold_layer.py; 08_feature_engineering.py",retail_silver.dim_product.is_perishable,pass-through; cast Boolean→INT,no,no
is_essential,retail_ml.demand_features,08_feature_engineering.py,retail_silver.dim_product.is_essential_commodity,pass-through; renamed is_essential_commodity→is_essential; cast Boolean→INT,no,no
lifecycle_encoded,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.lifecycle_stage (from dim_product),"ordinal: New=1, Growth=2, Mature=3, Decline=4; default Mature=3",no,no
store_type_encoded,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.store_type (from dim_store),"ordinal: Hypermarket=4, Supermarket=3, Express=2, Dark Store=1; default 3",no,no
tier_city_encoded,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.city (from dim_store),"binary: Tier1 cities (Mumbai/Delhi/Bangalore/Chennai/Hyderabad/Kolkata)=2, else=1; hardcoded city list",no,no
is_dark_store,retail_ml.demand_features,08_feature_engineering.py,gold_demand_daily_sku_store.store_type,"store_type == 'Dark Store' → 1; else 0; deterministic from store_type_encoded",no,no
volume_class_encoded,retail_gold.gold_product_vpo → retail_ml.demand_features,09_vpo_outlet_classification.py,retail_ml.demand_features.quantity_sold (full history aggregation),"NTILE(5) on total_qty_sold ordered globally (no partition); High=3 (bucket 1), Medium=2 (buckets 2-3), Low=1","no","maybe — NTILE computed over FULL dataset including test period dates (20251001–20251231); a product whose test-period demand is high will be classified differently than it would be at serving time when only train history is available"
profit_class_encoded,retail_gold.gold_product_vpo → retail_ml.demand_features,09_vpo_outlet_classification.py,"retail_ml.demand_features.total_margin (or revenue_rolling_28d×0.15 as proxy)","NTILE(5) on total_margin ordered globally; High=3, Medium=2, Low=1","no","maybe — same full-history look-ahead as volume_class_encoded; margin proxy adds additional approximation error"
occasion_class_encoded,retail_gold.gold_product_vpo → retail_ml.demand_features,09_vpo_outlet_classification.py,"retail_ml.demand_features.quantity_sold, is_festival_period (full history)","CV of monthly sales + top-3-months share + festival share computed over full history; Regular=1, Seasonal=2, Occasion=3, Impulse=4","no","maybe — seasonal pattern detection uses full historical period including test months; a product launching a seasonal campaign in test period would contaminate its occasion_class"
throughput_encoded,retail_gold.gold_store_classification → retail_ml.demand_features,09_vpo_outlet_classification.py,retail_ml.demand_features.quantity_sold (store-level full aggregation),"NTILE(4) on total_qty per store globally; Platinum=4, Gold=3, Silver=2, Bronze=1","no","maybe — NTILE uses full history; at serving time only pre-cut history is available"
sec_class_encoded,retail_gold.gold_store_classification → retail_ml.demand_features,09_vpo_outlet_classification.py,"retail_ml.demand_features.revenue_rolling_28d, price_to_mrp_ratio (full history averages)","avg basket value + premium proxy from full demand_features; A=3, B=2, C=1; proxy basket value uses revenue_rolling_28d / txn_rolling_28d ratio","no","maybe — same full-history concern; additionally the basket proxy is highly approximate"
maturity_encoded,retail_gold.gold_store_classification → retail_ml.demand_features,09_vpo_outlet_classification.py,retail_silver.dim_store.opening_date,"DATEDIFF(current_date, opening_date)/365.25; New<1yr=1, Developing<3yr=2, Mature<5yr=3, Established>=5yr=4",no,"no — opening_date is static and known at serving time; but DATEDIFF uses current_date at job execution, so re-runs produce different values — must be recalculated at inference"
perishable_capability_encoded,retail_gold.gold_store_classification → retail_ml.demand_features,09_vpo_outlet_classification.py,"retail_ml.demand_features.is_perishable, quantity_sold (full history)","perishable_qty/total_qty over full history; High>25%=3, Medium>10%=2, Low=1","no","maybe — full history aggregation"
promo_sensitivity_encoded,retail_gold.gold_store_classification → retail_ml.demand_features,09_vpo_outlet_classification.py,"retail_ml.demand_features.is_on_promo, quantity_sold (full history)","promo_qty/total_qty over full history; High>30%=3, Medium>15%=2, Low=1","no","maybe — full history aggregation"
online_mix_encoded,retail_gold.gold_store_classification → retail_ml.demand_features,09_vpo_outlet_classification.py,"retail_ml.demand_features.qty_online (if available) or store_type (fallback)","online_qty/total_qty; or store_type proxy (Dark Store=1.0, Hypermarket=0.15, Supermarket=0.10, other=0.05); High>20%=3, Medium>5%=2, Low=1","no","no — store_type-based fallback is static and available at inference"
